Trade_ID,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Duration_Days,PnL%,Cumulative_PnL%,Result
1,2022-08-19,20834.39,2022-09-13,20173.57,0,-3.17,-3.17,LOSS
2,2022-09-20,18875.0,2022-09-29,19591.51,0,3.8,0.62,WIN
3,2022-11-08,18547.23,2022-12-26,16919.39,0,-8.78,-8.15,LOSS
4,2023-03-08,21705.44,2023-04-07,27906.33,0,28.57,20.42,WIN
5,2023-05-11,26968.62,2023-05-23,27219.61,0,0.93,21.35,WIN
6,2023-05-24,26329.01,2023-06-03,27069.22,0,2.81,24.16,WIN
7,2023-06-05,25728.2,2023-06-17,26516.99,0,3.07,27.22,WIN
8,2023-08-16,28730.51,2023-09-24,26248.38,0,-8.64,18.58,LOSS
9,2024-01-22,39568.02,2024-01-27,42120.63,0,6.45,25.04,WIN
10,2024-04-17,61277.37,2024-04-23,66414.0,0,8.38,33.42,WIN
11,2024-04-30,60672.0,2024-05-03,62882.01,0,3.64,37.06,WIN
12,2024-06-18,65175.32,2024-07-13,59204.02,0,-9.16,27.9,LOSS
13,2024-08-03,60697.99,2024-08-17,59491.99,0,-1.99,25.91,LOSS
14,2024-09-05,56180.0,2024-09-12,58132.32,0,3.48,29.39,WIN
15,2025-02-24,91552.88,2025-03-20,84223.39,0,-8.01,21.38,LOSS
16,2025-04-06,78430.0,2025-04-09,82615.22,0,5.34,26.72,WIN
17,2025-06-22,100963.87,2025-07-29,117950.76,0,16.82,43.54,WIN
18,2025-08-02,112546.35,2025-08-08,116674.74,0,3.67,47.21,WIN
19,2025-08-25,110111.98,2025-09-07,111137.34,0,0.93,48.14,WIN
20,2025-09-25,108994.49,2025-09-30,114048.93,0,4.64,52.78,WIN
21,2025-10-11,110644.4,2025-10-12,114958.8,0,3.9,56.68,WIN
22,2025-10-16,108194.28,2025-10-25,111646.27,0,3.19,59.87,WIN
23,2025-11-03,106583.04,2025-12-02,87003.83,0,-18.37,41.5,LOSS
