Trade_ID,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Duration_Days,PnL%,Cumulative_PnL%,Result
1,2022-08-26,1508.18,2022-09-13,1574.4,0,4.39,4.39,WIN
2,2022-09-16,1433.9,2022-10-18,1310.71,0,-8.59,-4.2,LOSS
3,2022-11-08,1334.77,2022-11-26,1205.6,0,-9.68,-13.88,LOSS
4,2022-12-16,1166.83,2022-12-26,1228.11,0,5.25,-8.63,WIN
5,2023-03-09,1437.32,2023-03-12,1580.33,0,9.95,1.32,WIN
6,2023-06-10,1751.53,2023-07-06,1846.17,0,5.4,6.73,WIN
7,2023-08-16,1807.81,2023-08-30,1705.23,0,-5.67,1.05,LOSS
8,2023-08-31,1645.76,2023-09-16,1634.4,0,-0.69,0.36,LOSS
9,2023-09-21,1583.94,2023-12-17,2196.52,0,38.67,39.04,WIN
10,2024-01-24,2235.02,2024-03-17,3644.71,0,63.07,102.11,WIN
11,2024-03-19,3158.64,2024-03-28,3560.49,0,12.72,114.83,WIN
12,2024-04-13,3007.01,2024-04-23,3219.46,0,7.07,121.9,WIN
13,2024-04-30,3014.05,2024-05-03,3102.61,0,2.94,124.84,WIN
14,2024-05-08,2974.21,2024-05-15,3032.55,0,1.96,126.8,WIN
15,2024-06-24,3352.73,2024-07-13,3175.93,0,-5.27,121.52,LOSS
16,2024-08-02,2989.61,2024-08-19,2636.36,0,-11.82,109.71,LOSS
17,2024-08-20,2572.82,2024-09-13,2439.19,0,-5.19,104.51,LOSS
18,2024-09-16,2295.68,2024-09-18,2374.75,0,3.44,107.96,WIN
19,2024-10-02,2364.1,2024-10-12,2476.4,0,4.75,112.71,WIN
20,2024-11-04,2398.21,2024-12-10,3628.25,0,51.29,164.0,WIN
21,2024-12-21,3338.92,2025-01-02,3455.67,0,3.5,167.49,WIN
22,2025-01-09,3219.2,2025-01-21,3327.54,0,3.37,170.86,WIN
23,2025-01-28,3077.72,2025-01-30,3247.39,0,5.51,176.37,WIN
24,2025-02-02,2869.68,2025-02-17,2744.05,0,-4.38,172.0,LOSS
25,2025-02-18,2671.99,2025-02-19,2715.5,0,1.63,173.62,WIN
26,2025-02-24,2513.52,2025-03-19,2056.06,0,-18.2,155.42,LOSS
27,2025-03-28,1896.9,2025-06-13,2579.19,0,35.97,191.39,WIN
28,2025-06-21,2295.73,2025-09-21,4444.97,0,93.62,285.01,WIN
29,2025-09-23,4164.26,2025-10-13,4240.85,0,1.84,286.85,WIN
30,2025-10-17,3831.57,2025-10-28,3979.2,0,3.85,290.7,WIN
31,2025-11-03,3603.83,2025-11-28,3031.15,0,-15.89,274.81,LOSS
32,2025-11-29,2989.16,2025-11-30,2991.26,0,0.07,274.88,WIN
33,2025-12-01,2799.07,2025-12-02,2803.24,0,0.15,275.03,WIN
