Trade_ID,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Duration_Days,PnL%,Cumulative_PnL%,Result
1,2022-04-06 20:00:00,3168.51,2022-04-08 00:00:00,3267.66,0,3.13,3.13,WIN
2,2022-04-11 12:00:00,3003.39,2022-04-13 00:00:00,3049.09,0,1.52,4.65,WIN
3,2022-05-08 00:00:00,2545.08,2022-05-13 00:00:00,2096.46,0,-17.63,-12.98,LOSS
4,2022-06-11 08:00:00,1575.96,2022-06-16 00:00:00,1210.1,0,-23.22,-36.19,LOSS
5,2022-06-18 16:00:00,915.15,2022-06-22 00:00:00,1089.3,0,19.03,-17.16,WIN
6,2022-06-30 08:00:00,1018.49,2022-07-01 16:00:00,1067.91,0,4.85,-12.31,WIN
7,2022-07-12 04:00:00,1069.07,2022-07-13 16:00:00,1076.61,0,0.71,-11.6,WIN
8,2022-08-19 08:00:00,1707.73,2022-08-21 16:00:00,1624.18,0,-4.89,-16.5,LOSS
9,2022-08-28 20:00:00,1426.76,2022-09-01 12:00:00,1536.03,0,7.66,-8.84,WIN
10,2022-09-18 20:00:00,1334.51,2022-09-19 20:00:00,1375.98,0,3.11,-5.73,WIN
11,2022-10-11 00:00:00,1278.37,2022-10-12 04:00:00,1293.88,0,1.21,-4.52,WIN
12,2022-10-13 08:00:00,1243.09,2022-10-15 08:00:00,1287.42,0,3.57,-0.95,WIN
13,2022-11-08 16:00:00,1315.39,2022-11-10 12:00:00,1321.61,0,0.47,-0.48,WIN
14,2022-11-21 16:00:00,1091.22,2022-11-22 12:00:00,1135.37,0,4.05,3.57,WIN
15,2022-12-16 20:00:00,1166.83,2022-12-18 16:00:00,1183.56,0,1.43,5.0,WIN
16,2023-03-09 16:00:00,1488.27,2023-03-11 00:00:00,1458.31,0,-2.01,2.99,LOSS
17,2023-04-21 16:00:00,1842.7,2023-04-23 04:00:00,1874.3,0,1.71,4.7,WIN
18,2023-06-05 16:00:00,1806.49,2023-06-07 12:00:00,1839.0,0,1.8,6.5,WIN
19,2023-06-10 04:00:00,1731.78,2023-06-12 20:00:00,1742.57,0,0.62,7.13,WIN
20,2023-06-14 20:00:00,1650.95,2023-06-16 12:00:00,1682.31,0,1.9,9.03,WIN
21,2023-08-01 00:00:00,1826.49,2023-08-01 16:00:00,1850.96,0,1.34,10.37,WIN
22,2023-08-16 20:00:00,1807.81,2023-08-20 08:00:00,1674.92,0,-7.35,3.01,LOSS
23,2023-09-11 08:00:00,1586.53,2023-09-12 12:00:00,1603.85,0,1.09,4.11,WIN
24,2024-01-22 16:00:00,2321.87,2024-01-25 08:00:00,2231.59,0,-3.89,0.22,LOSS
25,2024-04-13 16:00:00,3085.2,2024-04-14 20:00:00,3155.11,0,2.27,2.48,WIN
26,2024-06-11 08:00:00,3529.56,2024-06-12 20:00:00,3560.12,0,0.87,3.35,WIN
27,2024-06-24 12:00:00,3280.3,2024-06-25 12:00:00,3419.6,0,4.25,7.6,WIN
28,2024-07-04 04:00:00,3182.21,2024-07-06 12:00:00,3020.0,0,-5.1,2.5,LOSS
29,2024-07-25 00:00:00,3168.3,2024-07-26 08:00:00,3246.86,0,2.48,4.98,WIN
30,2024-08-03 12:00:00,2942.4,2024-08-06 12:00:00,2527.6,0,-14.1,-9.12,LOSS
31,2024-08-27 20:00:00,2457.33,2024-08-29 04:00:00,2547.53,0,3.67,-5.45,WIN
32,2024-10-01 20:00:00,2447.79,2024-10-04 08:00:00,2386.2,0,-2.52,-7.96,LOSS
33,2024-10-23 16:00:00,2512.51,2024-10-25 08:00:00,2545.13,0,1.3,-6.67,WIN
34,2024-12-19 16:00:00,3439.44,2024-12-21 04:00:00,3523.46,0,2.44,-4.22,WIN
35,2025-01-08 16:00:00,3280.68,2025-01-10 04:00:00,3296.29,0,0.48,-3.75,WIN
36,2025-01-13 08:00:00,3057.16,2025-01-14 04:00:00,3171.53,0,3.74,-0.01,WIN
37,2025-02-03 00:00:00,2527.12,2025-02-03 20:00:00,2879.9,0,13.96,13.95,WIN
38,2025-02-25 04:00:00,2368.11,2025-03-01 00:00:00,2262.98,0,-4.44,9.51,LOSS
39,2025-03-28 12:00:00,1872.13,2025-03-31 12:00:00,1842.23,0,-1.6,7.92,LOSS
40,2025-04-06 16:00:00,1626.24,2025-04-08 08:00:00,1588.32,0,-2.33,5.59,LOSS
41,2025-06-22 00:00:00,2264.58,2025-06-23 16:00:00,2312.77,0,2.13,7.71,WIN
42,2025-08-02 16:00:00,3383.2,2025-08-03 16:00:00,3496.74,0,3.36,11.07,WIN
43,2025-09-22 04:00:00,4193.38,2025-09-24 08:00:00,4182.08,0,-0.27,10.8,LOSS
44,2025-09-25 00:00:00,4062.78,2025-09-26 16:00:00,4024.07,0,-0.95,9.85,LOSS
45,2025-10-10 16:00:00,3997.56,2025-10-14 04:00:00,3981.19,0,-0.41,9.44,LOSS
46,2025-10-30 16:00:00,3686.93,2025-10-31 08:00:00,3874.01,0,5.07,14.51,WIN
47,2025-11-04 16:00:00,3230.94,2025-11-05 16:00:00,3455.12,0,6.94,21.45,WIN
48,2025-12-01 12:00:00,2745.72,2025-12-02 04:00:00,2803.42,0,2.1,23.55,WIN
