entry_time,exit_time,entry_price,exit_price,pnl,result
2022-08-26,2022-09-13,1508.18,1574.4,0.04390722592793965,win
2022-09-16,2023-02-24,1433.9,1607.8,0.12127763442359987,win
2023-03-09,2023-03-12,1437.32,1580.33,0.0994976762307628,win
2023-06-10,2023-07-06,1751.53,1846.17,0.05403275992988993,win
2023-08-16,2023-12-17,1807.81,2196.52,0.21501706484641642,win
2024-01-24,2024-03-17,2235.02,3644.71,0.6307281366609695,win
2024-03-19,2024-03-28,3158.64,3560.49,0.12722247549578297,win
2024-04-13,2024-04-23,3007.01,3219.46,0.07065157748062022,win
2024-04-30,2024-05-03,3014.05,3102.61,0.029382392461969754,win
2024-05-08,2024-05-15,2974.21,3032.55,0.019615292800441175,win
2024-06-24,2024-12-10,3352.73,3628.25,0.08217780733909381,win
2024-12-21,2025-01-02,3338.92,3455.67,0.03496639631976807,win
2025-01-09,2025-01-21,3219.2,3327.54,0.033654324055666054,win
2025-01-28,2025-01-30,3077.72,3247.39,0.05512847172582304,win
2025-02-02,2025-09-21,2869.68,4444.97,0.5489427392601267,win
2025-09-23,2025-10-13,4164.26,4240.85,0.018392223348205956,win
2025-10-17,2025-10-28,3831.57,3979.2,0.03852989766596973,win
2025-11-03,2025-12-02,3603.83,2809.02,-0.2205459192026261,loss
