Symbol_TF,Entry,Entry_Param,Exit,Exit_Param,PnL%,Win_Rate%,Trades
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.85,431.04,94.44,18
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.85,243.27,94.74,19
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.8,237.67,94.74,19
BTCUSDT_1d,KAMA_SuperTrend,,BB_Exit_A,,235.39,97.37,38
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.9,219.96,92.31,13
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.75,211.23,95.45,22
ETHUSDT_1d,RSI,40.0,BB_Exit_A,,203.14,95.0,20
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_A,,202.03,96.43,28
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.75,195.62,95.0,20
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.9,190.01,93.33,15
BTCUSDT_1d,BB_Reversal,,BB_Exit_A,,189.46,95.0,20
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.65,188.99,95.24,21
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.7,187.22,95.24,21
BTCUSDT_1d,KAMA_SuperTrend,,RSI,50.0,182.99,97.3,37
BTCUSDT_1d,RSI,40.0,SuperTrend,,182.91,95.24,21
BTCUSDT_1d,RSI,40.0,BB_Exit_A,,182.54,95.65,23
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.85,181.95,90.91,11
BTCUSDT_1d,KAMA_SuperTrend,,SuperTrend,,175.56,94.12,17
BTCUSDT_1d,RSI,30.0,BB_Exit_B,0.9,174.92,87.5,8
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.75,172.7,95.0,20
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.6,170.12,95.45,22
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.8,168.22,95.0,20
ETHUSDT_4h,RSI,25.0,BB_Exit_B,0.7,168.1,100.0,22
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.9,166.92,88.89,9
BTCUSDT_4h,RSI,30.0,BB_Exit_B,0.9,165.48,96.15,26
ETHUSDT_1h,BB_Reversal,,RSI,40.0,160.33,99.37,158
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.8,158.61,99.08,109
ETHUSDT_4h,RSI,25.0,BB_Exit_B,0.75,158.06,100.0,22
ETHUSDT_4h,RSI,25.0,BB_Exit_B,0.8,157.51,100.0,22
BTCUSDT_4h,RSI,25.0,SuperTrend,,157.42,100.0,22
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.75,156.65,99.12,114
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.7,154.35,99.17,121
BTCUSDT_1d,KAMA_SuperTrend,,RSI,45.0,152.6,98.11,53
BTCUSDT_1d,KAMA_SuperTrend,,RSI,40.0,150.77,98.18,55
ETHUSDT_1h,RSI,20.0,BB_Exit_B,0.9,150.65,97.14,35
BTCUSDT_1d,BB_Reversal,,SuperTrend,,149.63,94.44,18
ETHUSDT_1h,RSI,20.0,RSI,60.0,149.47,97.83,46
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.65,148.68,99.19,124
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.9,145.53,98.81,84
ETHUSDT_1d,KAMA_SuperTrend,,RSI,50.0,144.81,96.67,30
BTCUSDT_4h,RSI,25.0,RSI,60.0,144.44,100.0,20
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.6,143.76,99.21,126
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.7,143.24,95.45,22
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.65,141.65,95.45,22
ETHUSDT_1d,KAMA_SuperTrend,,RSI,45.0,141.02,97.92,48
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.85,139.97,98.98,98
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.6,137.65,95.45,22
BTCUSDT_1h,RSI,40.0,RSI,60.0,137.43,98.81,84
ETHUSDT_1d,KAMA_SuperTrend,,RSI,40.0,136.85,98.25,57
BTCUSDT_1h,RSI,40.0,SuperTrend,,135.22,98.96,96
BTCUSDT_1h,KAMA_SuperTrend,,RSI,50.0,134.03,99.48,192
BTCUSDT_1h,RSI,40.0,RSI,50.0,133.75,99.22,129
BTCUSDT_1h,KAMA_SuperTrend,,RSI,60.0,133.08,98.85,87
BTCUSDT_1h,KAMA_SuperTrend,,RSI,45.0,132.35,99.62,262
ETHUSDT_4h,RSI,25.0,BB_Exit_B,0.65,132.02,100.0,22
ETHUSDT_4h,RSI,20.0,BB_Exit_B,0.75,130.56,100.0,11
ETHUSDT_4h,RSI,20.0,BB_Exit_B,0.8,130.56,100.0,11
BTCUSDT_1d,RSI,40.0,RSI,50.0,129.12,95.65,23
BTCUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.75,128.55,96.15,26
BTCUSDT_1h,KAMA_SuperTrend,,RSI,40.0,128.34,99.66,292
ETHUSDT_4h,RSI,25.0,BB_Exit_B,0.6,128.06,100.0,22
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.7,126.9,95.0,20
ETHUSDT_4h,RSI,20.0,BB_Exit_B,0.7,126.07,100.0,12
BTCUSDT_1d,KAMA_SuperTrend,,RSI,60.0,124.94,94.44,18
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.65,124.21,95.0,20
ETHUSDT_1h,RSI,20.0,SuperTrend,,123.18,97.83,46
BTCUSDT_4h,RSI,40.0,BB_Exit_B,0.8,122.14,96.0,25
BTCUSDT_1h,BB_Reversal,,BB_Exit_A,,120.17,99.42,173
BTCUSDT_1h,BB_Reversal,,RSI,45.0,119.46,99.54,218
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.6,119.29,95.0,20
BTCUSDT_4h,RSI,30.0,BB_Exit_B,0.85,118.26,96.15,26
BTCUSDT_4h,BB_Reversal,,BB_Exit_B,0.75,117.86,96.43,28
BTCUSDT_4h,RSI,25.0,BB_Exit_B,0.85,117.0,100.0,22
BTCUSDT_4h,RSI,40.0,BB_Exit_B,0.6,116.97,97.62,42
BTCUSDT_4h,RSI,40.0,BB_Exit_B,0.75,116.49,96.55,29
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.7,115.58,95.24,21
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.65,115.58,95.45,22
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.8,115.06,94.12,17
BTCUSDT_1h,KAMA_SuperTrend,,SuperTrend,,114.86,98.8,83
BTCUSDT_1d,RSI,40.0,RSI,60.0,114.25,93.75,16
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.6,113.24,96.0,25
ETHUSDT_4h,RSI,20.0,BB_Exit_B,0.65,112.7,100.0,17
ETHUSDT_4h,RSI,25.0,RSI,50.0,112.3,100.0,23
BTCUSDT_1h,RSI,30.0,BB_Exit_B,0.8,109.51,98.39,62
BTCUSDT_1h,RSI,40.0,RSI,45.0,109.25,99.38,161
BTCUSDT_4h,RSI,25.0,RSI,50.0,108.35,100.0,22
ETHUSDT_4h,RSI,25.0,RSI,45.0,108.15,100.0,24
