Symbol_TF,Entry,Entry_Param,Exit,Exit_Param,PnL%,PnL_USD,Win_Rate%,Trades
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.85,429.94,42994.31,94.44,18
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.85,242.57,24256.7,94.74,19
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.8,236.98,23697.54,94.74,19
BTCUSDT_1d,KAMA_SuperTrend,,BB_Exit_A,,234.7,23470.12,97.37,38
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.9,219.31,21930.66,92.31,13
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.75,210.6,21059.65,95.45,22
ETHUSDT_1d,RSI,40.0,BB_Exit_A,,202.52,20251.76,95.0,20
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_A,,201.41,20141.19,96.43,28
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.75,195.01,19501.3,95.0,20
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.9,189.42,18941.58,93.33,15
BTCUSDT_1d,BB_Reversal,,BB_Exit_A,,188.87,18886.59,95.0,20
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.65,188.4,18839.95,95.24,21
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.7,186.63,18663.37,95.24,21
BTCUSDT_1d,KAMA_SuperTrend,,RSI,50.0,182.41,18241.0,97.3,37
BTCUSDT_1d,RSI,40.0,SuperTrend,,182.34,18233.57,95.24,21
BTCUSDT_1d,RSI,40.0,BB_Exit_A,,181.97,18196.54,95.65,23
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.85,181.37,18136.85,90.91,11
BTCUSDT_1d,KAMA_SuperTrend,,SuperTrend,,174.99,17499.13,94.12,17
BTCUSDT_1d,RSI,30.0,BB_Exit_B,0.9,174.36,17436.19,87.5,8
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.75,172.14,17213.94,95.0,20
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.6,169.56,16956.41,95.45,22
ETHUSDT_1d,RSI,40.0,BB_Exit_B,0.8,167.67,16767.05,95.0,20
ETHUSDT_4h,RSI,25.0,BB_Exit_B,0.7,167.57,16756.91,100.0,22
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.9,166.37,16637.24,88.89,9
BTCUSDT_4h,RSI,30.0,BB_Exit_B,0.9,164.89,16488.51,96.15,26
ETHUSDT_1h,BB_Reversal,,RSI,40.0,159.75,15974.55,99.37,158
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.8,158.04,15803.68,99.08,109
ETHUSDT_4h,RSI,25.0,BB_Exit_B,0.75,157.54,15754.21,100.0,22
ETHUSDT_4h,RSI,25.0,BB_Exit_B,0.8,156.99,15699.09,100.0,22
BTCUSDT_4h,RSI,25.0,SuperTrend,,156.85,15685.2,100.0,22
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.75,156.08,15607.86,99.12,114
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.7,153.79,15378.6,99.17,121
BTCUSDT_1d,KAMA_SuperTrend,,RSI,45.0,152.08,15208.46,98.11,53
BTCUSDT_1d,KAMA_SuperTrend,,RSI,40.0,150.26,15025.51,98.18,55
ETHUSDT_1h,RSI,20.0,BB_Exit_B,0.9,150.08,15008.0,97.14,35
BTCUSDT_1d,BB_Reversal,,SuperTrend,,149.12,14912.42,94.44,18
ETHUSDT_1h,RSI,20.0,RSI,60.0,148.9,14890.26,97.83,46
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.65,148.13,14812.9,99.19,124
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.9,144.99,14498.83,98.81,84
ETHUSDT_1d,KAMA_SuperTrend,,RSI,50.0,144.31,14430.88,96.67,30
BTCUSDT_4h,RSI,25.0,RSI,60.0,143.9,14390.13,100.0,20
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.6,143.22,14322.13,99.21,126
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.7,142.74,14274.21,95.45,22
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.65,141.15,14115.09,95.45,22
ETHUSDT_1d,KAMA_SuperTrend,,RSI,45.0,140.52,14052.37,97.92,48
BTCUSDT_1h,BB_Reversal,,BB_Exit_B,0.85,139.44,13943.63,98.98,98
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.6,137.17,13716.52,95.45,22
BTCUSDT_1h,RSI,40.0,RSI,60.0,136.9,13689.96,98.81,84
ETHUSDT_1d,KAMA_SuperTrend,,RSI,40.0,136.36,13636.32,98.25,57
BTCUSDT_1h,RSI,40.0,SuperTrend,,134.7,13469.84,98.96,96
BTCUSDT_1h,KAMA_SuperTrend,,RSI,50.0,133.51,13351.24,99.48,192
BTCUSDT_1h,RSI,40.0,RSI,50.0,133.23,13323.29,99.22,129
BTCUSDT_1h,KAMA_SuperTrend,,RSI,60.0,132.57,13256.59,98.85,87
BTCUSDT_1h,KAMA_SuperTrend,,RSI,45.0,131.83,13182.95,99.62,262
ETHUSDT_4h,RSI,25.0,BB_Exit_B,0.65,131.56,13155.73,100.0,22
ETHUSDT_4h,RSI,20.0,BB_Exit_B,0.75,130.56,13056.02,100.0,11
ETHUSDT_4h,RSI,20.0,BB_Exit_B,0.8,130.56,13056.02,100.0,11
BTCUSDT_1d,RSI,40.0,RSI,50.0,128.65,12864.81,95.65,23
BTCUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.75,128.08,12808.32,96.15,26
BTCUSDT_1h,KAMA_SuperTrend,,RSI,40.0,127.83,12783.02,99.66,292
ETHUSDT_4h,RSI,25.0,BB_Exit_B,0.6,127.61,12760.62,100.0,22
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.7,126.44,12643.84,95.0,20
ETHUSDT_4h,RSI,20.0,BB_Exit_B,0.7,126.07,12606.55,100.0,12
BTCUSDT_1d,KAMA_SuperTrend,,RSI,60.0,124.48,12447.52,94.44,18
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.65,123.75,12375.05,95.0,20
ETHUSDT_1h,RSI,20.0,SuperTrend,,122.68,12267.75,97.83,46
BTCUSDT_4h,RSI,40.0,BB_Exit_B,0.8,121.65,12164.85,96.0,25
BTCUSDT_1h,BB_Reversal,,BB_Exit_A,,119.68,11968.48,99.42,173
BTCUSDT_1h,BB_Reversal,,RSI,45.0,118.97,11897.19,99.54,218
BTCUSDT_1d,RSI,40.0,BB_Exit_B,0.6,118.84,11883.68,95.0,20
BTCUSDT_4h,RSI,30.0,BB_Exit_B,0.85,117.77,11777.42,96.15,26
BTCUSDT_4h,BB_Reversal,,BB_Exit_B,0.75,117.38,11737.95,96.43,28
BTCUSDT_4h,RSI,25.0,BB_Exit_B,0.85,116.52,11651.61,100.0,22
BTCUSDT_4h,RSI,40.0,BB_Exit_B,0.6,116.49,11648.83,97.62,42
BTCUSDT_4h,RSI,40.0,BB_Exit_B,0.75,116.01,11600.62,96.55,29
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.65,115.14,11513.79,95.45,22
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.7,115.14,11513.79,95.24,21
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.8,114.62,11462.0,94.12,17
BTCUSDT_1h,KAMA_SuperTrend,,SuperTrend,,114.39,11438.57,98.8,83
BTCUSDT_1d,RSI,40.0,RSI,60.0,113.81,11380.82,93.75,16
ETHUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.6,112.8,11280.47,96.0,25
ETHUSDT_4h,RSI,20.0,BB_Exit_B,0.65,112.7,11270.29,100.0,17
ETHUSDT_4h,RSI,25.0,RSI,50.0,111.88,11188.03,100.0,23
BTCUSDT_1h,RSI,30.0,BB_Exit_B,0.8,109.04,10904.31,98.39,62
BTCUSDT_1h,RSI,40.0,RSI,45.0,108.79,10878.91,99.38,161
BTCUSDT_4h,RSI,25.0,RSI,50.0,107.88,10788.2,100.0,22
ETHUSDT_4h,RSI,25.0,RSI,45.0,107.73,10773.15,100.0,24
ETHUSDT_4h,RSI,20.0,BB_Exit_B,0.6,106.75,10675.0,100.0,17
BTCUSDT_1h,KAMA_SuperTrend,,BB_Exit_A,,106.4,10639.56,99.4,168
BTCUSDT_4h,RSI,25.0,BB_Exit_B,0.9,106.37,10637.38,100.0,20
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.85,106.33,10632.98,93.75,16
ETHUSDT_4h,RSI,30.0,RSI,50.0,106.08,10608.38,96.55,29
ETHUSDT_1h,RSI,20.0,RSI,50.0,106.02,10601.88,97.83,46
BTCUSDT_1h,RSI,30.0,BB_Exit_B,0.7,105.31,10530.94,98.46,65
BTCUSDT_1d,BB_Reversal,,BB_Exit_B,0.9,105.3,10529.72,93.33,15
BTCUSDT_1h,RSI,40.0,BB_Exit_A,,104.74,10473.98,99.15,118
BTCUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.9,103.91,10391.24,92.86,14
BTCUSDT_1h,BB_Reversal,,RSI,60.0,103.89,10388.96,98.92,93
BTCUSDT_4h,RSI,40.0,BB_Exit_B,0.7,103.48,10347.52,96.67,30
BTCUSDT_1d,RSI,30.0,BB_Exit_B,0.85,103.2,10319.92,87.5,8
BTCUSDT_1h,RSI,30.0,BB_Exit_B,0.75,102.97,10297.16,98.44,64
BTCUSDT_1h,BB_Reversal,,RSI,50.0,102.84,10284.36,99.35,153
ETHUSDT_4h,RSI,25.0,BB_Exit_A,,102.72,10272.03,100.0,24
ETHUSDT_4h,RSI,30.0,RSI,40.0,102.19,10219.47,97.37,38
BTCUSDT_1h,RSI,30.0,BB_Exit_B,0.65,101.81,10180.79,98.48,66
BTCUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.85,101.64,10163.66,94.44,18
BTCUSDT_1d,BB_Reversal,,RSI,60.0,100.42,10042.26,93.33,15
BTCUSDT_1h,RSI,30.0,BB_Exit_B,0.6,100.05,10005.02,98.51,67
ETHUSDT_1h,RSI,20.0,BB_Exit_B,0.8,99.24,9924.23,97.22,36
BTCUSDT_1d,BB_Reversal,,RSI,50.0,99.11,9910.61,95.0,20
ETHUSDT_1h,RSI,20.0,BB_Exit_B,0.85,98.94,9894.39,97.14,35
BTCUSDT_1d,KAMA_SuperTrend,,BB_Exit_B,0.8,98.67,9867.18,94.74,19
BTCUSDT_1d,RSI,30.0,SuperTrend,,98.25,9825.11,87.5,8
ETHUSDT_1d,RSI,40.0,RSI,50.0,97.75,9775.15,94.74,19
BTCUSDT_1h,RSI,40.0,RSI,40.0,97.33,9732.61,99.51,206
BTCUSDT_4h,BB_Reversal,,BB_Exit_B,0.6,96.26,9625.75,96.97,33
BTCUSDT_1h,BB_Reversal,,SuperTrend,,95.4,9539.75,99.06,106
